track_id,id,artist_name,album_name,release_date,track_name,track_number,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
04yxmrf87opUJcxXpXpQCQ,1jSTXHarvMPAUDuNCC8B9H,Modest Mouse,Baron Von Bullshit Rides Again,2004-04-06,"Bankrupt On Selling - Live at the Social, Orlando, FL - February 2004",8,0.404,0.34,-13.199,1,0.0309,0.81,0.0218,0.712,0.102,139.359,184360
06VY2GMqAcZKyF3LZb4bXs,0hnwu9WUcXrL23w5WPrbOX,Modest Mouse,The Golden Casket,2021-06-25,Never Fuck A Spider On The Fly,9,0.591,0.885,-5.728,1,0.0355,0.000488,0.000581,0.142,0.528,125.009,296413
09iayCA5rYfUCsUfyE2fL2,5mvHTVy1iUIkAflIufoOpj,Modest Mouse,The Lonesome Crowded West,1997-11-18,Jesus Christ Was An Only Child,5,0.651,0.588,-5.715,1,0.0454,0.786,0.00106,0.149,0.689,88.65,156293
0C3j9mSQhiePn9nljEjP1D,1jSTXHarvMPAUDuNCC8B9H,Modest Mouse,Baron Von Bullshit Rides Again,2004-04-06,"Wild Packs of Family Dogs - Live at the Social, Orlando, FL - February 2004",3,0.645,0.498,-11.231,1,0.025,0.624,0.011,0.684,0.844,94.057,119867
0Cxg39M3SbTeHKtCTWCMTg,6iKqPv9C5oU29LR82N8lJf,Modest Mouse,Strangers to Ourselves,2015-03-13,Coyotes,7,0.557,0.505,-6.805,0,0.0273,0.0769,0.0243,0.0909,0.463,108.166,210933
0FPzXjXZo55aGMTaK5Ltgy,6iKqPv9C5oU29LR82N8lJf,Modest Mouse,Strangers to Ourselves,2015-03-13,Pups to Dust,8,0.553,0.848,-5.12,1,0.025,0.0148,0.00346,0.313,0.85,88.529,210853
0Fe3WxeO6lZZxj7ytvbDUh,2lXBCL76UL5PCPbfAqKBkz,Modest Mouse,We Were Dead Before The Ship Even Sank,2007-03-20,Dashboard,2,0.639,0.903,-5.013,0,0.0371,0.00963,7.06e-05,0.174,0.96,135.938,246173
0HgTYw2jY3sz8rYG0RpI3f,5SbcupirEParczvqqyUPXL,Modest Mouse,The Moon & Antarctica,2000-06-13,Alone Down There,8,0.313,0.739,-4.873,0,0.0408,0.0301,0.000124,0.334,0.437,66.449,141800
0LwnKEfgfhpFMYT6Lac1NH,30BLhkeaIgQ9EdvxnocCB6,Modest Mouse,Sad Sappy Sucker,2001-04-24,5-4-3-2-1 Lisp Off,17,0.477,0.673,-7.878,1,0.362,0.98,3.24e-06,0.61,0.487,102.885,30240
0PlnyEdmQp2iIf6qAiWOgO,3PTktNuj2FItJr8afuiieo,Modest Mouse,This Is a Long Drive for Someone with Nothing to Think About,1996-04-16,Make Everyone Happy / Mechanical Birds,15,0.38,0.65,-8.014,1,0.0328,0.293,0.0241,0.619,0.445,142.958,364400
